___
| Level | Proficiency Bonus | Sorcery Points | Features | Cantrips Known | Spells Known | 1st | &nbsp; 2nd &nbsp; | &nbsp; 3rd &nbsp; | &nbsp; 4th &nbsp; | &nbsp; 5th &nbsp; | &nbsp; 6th &nbsp; | &nbsp; 7th &nbsp; | &nbsp; 8th &nbsp; | &nbsp; 9th &nbsp; |
| :---: | :---------------: | :------------: | :------- |:---:|:---:                    |:---:|:---:|:---:|:---:|:---:|:---:|:---:|:---:|:---:|
| 1st | +2 | — | Spellcasting, Sorcerous Origin         |  4  |  2                      |  2  |  —  |  —  |  —  |  —  |  —  |  —  |  —  |  —  |
| 2nd | +2 | 2 | Font of Magic                          |  4  |  3                      |  3  |  —  |  —  |  —  |  —  |  —  |  —  |  —  |  —  |
| 3rd | +2 | 3 | Katie Magic|  4  |  4                        |  4  |  2  |  —  |  —  |  —  |  —  |  —  |  —  |  —  |
| 4th | +2 | 4 | Metamagic                              |  5  |  5                        |  4  |  2  |  —  |  —  |  —  |  —  |  —  |  —  |  —  |
| 5th | +3 | 5 | Metamagic                              |  5  |  6                        |  4  |  2  |  —  |  —  |  —  |  —  |  —  |  —  |  —  |
| 6th | +3 | 6 | Metamagic                              |  5  |  7                        |  4  |  2  |  —  |  —  |  —  |  —  |  —  |  —  |  —  |
| 7th | +3 | 7 | Metamagic                              |  5  |  8                        |  4  |  2  |  —  |  —  |  —  |  —  |  —  |  —  |  —  |
| 8th | +3 | 8 | Metamagic                              |  6  |  9                        |  4  |  2  |  —  |  —  |  —  |  —  |  —  |  —  |  —  |
| 9th | +4 | 9 | Metamagic                              |  6  |  10                       |  4  |  2  |  —  |  —  |  —  |  —  |  —  |  —  |  —  |
| 10th| +4 | 10 | Metamagic                              |  6  |  11                      |  4  |  2  |  —  |  —  |  —  |  —  |  —  |  —  |  —  |
| 11th| +4 | 11 | Metamagic                              |  6  |  12                      |  4  |  2  |  —  |  —  |  —  |  —  |  —  |  —  |  —  |
| 12th| +4 | 12 | Metamagic                              |  6  |  12                      |  4  |  2  |  —  |  —  |  —  |  —  |  —  |  —  |  —  |
| 13th| +5 | 13 | Metamagic                              |  6  |  13                      |  4  |  2  |  —  |  —  |  —  |  —  |  1  |  —  |  —  |
| 14th| +5 | 14 | Metamagic                              |  6  |  13                      |  4  |  2  |  —  |  —  |  —  |  —  |  1  |  —  |  —  |
| 15th| +5 | 15 | Metamagic                              |  6  |  14                      |  4  |  2  |  —  |  —  |  —  |  —  |  1  |  1  |  —  |
| 16th| +5 | 16 | Metamagic                              |  6  |  14                      |  4  |  2  |  —  |  —  |  —  |  —  |  1  |  1  |  —  |
| 17th| +6 | 17 | Metamagic                              |  6  |  15                      |  4  |  2  |  —  |  —  |  —  |  —  |  1  |  1  |  1  |
| 18th| +6 | 18 | Metamagic                              |  6  |  15                      |  4  |  2  |  —  |  —  |  —  |  —  |  1  |  1  |  1  |
| 19th| +6 | 19 | Metamagic                              |  6  |  15                      |  4  |  2  |  —  |  —  |  —  |  —  |  1  |  1  |  1  |
| 20th| +6 | 20 | Metamagic                              |  6  |  15                      |  4  |  2  |  —  |  —  |  —  |  —  |  2  |  1  |  1  |
